Category,USDA_Name,Calories_100g,Protein_100g,Fat_100g,Carbs_100g,Fiber_100g,Sugar_100g
Bread,Average Bread,322.8,12.755999999999998,10.116,46.672000000000004,2.7399999999999998,12.478
Dairy product,Average Dairy product,292.1666666666667,5.0200000000000005,21.451666666666668,20.575,1.0166666666666666,7.565
Dessert,Average Dessert,343.42857142857144,5.137142857142856,11.824285714285713,55.58571428571428,2.2142857142857144,28.577142857142857
Egg,Average Egg,157.25,7.48,7.722499999999999,14.760000000000002,1.7750000000000001,4.180000000000001
Fried food,Average Fried food,294.0,10.950000000000001,16.19,26.093333333333334,2.2666666666666666,1.21
Meat,Average Meat,198.42857142857142,17.53142857142857,12.768571428571429,2.3000000000000003,0.18571428571428572,1.4214285714285713
Noodles-Pasta,Average Noodles-Pasta,173.4,4.732000000000001,6.4159999999999995,24.182,1.6199999999999999,3.596000000000001
Rice,Average Rice,191.25,6.045000000000001,3.0625,35.47,4.25,0.6775
Seafood,Average Seafood,132.0,17.209999999999997,5.573333333333333,2.698333333333333,0.06666666666666667,0.0
Soup,Average Soup,95.0,5.914,4.21,8.411999999999999,1.04,2.5780000000000003
Vegetable-Fruit,Average Vegetable-Fruit,157.71428571428572,3.4657142857142857,3.4200000000000004,29.76142857142857,1.5571428571428572,7.460000000000001
